NPC_5_5,5,5,2,3,,,Any idea who is this body?,False,Block,Normal,"Variable[""takeGirl""] == true",,,[],,,[],,,,268.7804;74.34146
Girl_5_6,5,6,3,2,,Ah... Not really... Might be a member in those Bad guys.,,False,Block,Normal,,,,[],,,[],,,,268.7804;124.3415
NPC_5_7,5,7,2,3,New Dialogue Entry,,What's wrong? You look nervous.,False,Block,Normal,,,,[],,,[],,,,268.7804;174.3415
Girl_5_8,5,8,3,2,,,"Am I?... I remember, he was one of the guy that chased and locked me before.",False,Block,Normal,,,,[],,,[],,,,268.7804;224.3415
NPC_5_9,5,9,2,3,New Dialogue Entry,,Then Who killed him?,False,Block,Normal,,,,[],,,[],,,,268.7804;274.3415
Girl_5_10,5,10,3,2,New Dialogue Entry,,I don't know... The bad people might kill each other for other reasons.,False,Block,Normal,,,,[],,,[],,,,268.7804;324.3415
Player_6_0,6,0,1,3,START,,,False,Block,Normal,,,None(),[],,,[],,,,20;27.67442
NPC_6_1,6,1,2,3,New Dialogue Entry,,A girl!,False,Block,Normal,,,Audio(gasp),[],,,[],,602c61e8-0b56-48a7-a8d3-7f7fa3893740,,20;77.95917
Player_6_2,6,2,1,3,New Dialogue Entry,,Hi! Can you see me! Can you hear me?,False,Block,Normal,,,,[],,,[],,,,20;130
Girl_6_3,6,3,3,1,New Dialogue Entry,,What? Oh my god! It's you! You REALLY exist!,False,Block,Normal,,,Audio(girl),[],,,[],,,,20;180
Player_6_4,6,4,1,3,New Dialogue Entry,,Wha..Do you know me? Do you know why I'm here?,False,Block,Normal,,,,[],,,[],,,,20;230
Girl_6_5,6,5,3,1,New Dialogue Entry,,Sure! We... are looking for you! For a long time! You are the saver to the world!,False,Block,Normal,,,,[],,,[],,,,20;280
Player_6_6,6,6,1,3,New Dialogue Entry,,Saver?,False,Block,Normal,,,,[],,,[],,,,20;330
Player_6_7,6,7,1,3,New Dialogue Entry,,Looking for me?,False,Block,Normal,,,,[],,,[],,,,290.4255;328.7447
Girl_6_8,6,8,3,1,New Dialogue Entry,,"The prophesy says The Saver would come to our world and clean the world, we should find him and invite him before the Bad people find him first.",False,Block,Normal,,,,[],,,[],,,,22.12766;387.4468
Player_6_9,6,9,1,3,New Dialogue Entry,,Clean...?,False,Block,Normal,,,,[],,,[],,,,22.12766;437.4468
Girl_6_10,6,10,3,1,New Dialogue Entry,,That part is a little unclear in the prophecy but we believe The Saver would wipe out all Bad people and only left good ones.,False,Block,Normal,,,,[],,,[],,,,22.12766;487.4468
Player_6_11,6,11,1,3,New Dialogue Entry,,That sounds... A little cruel.,False,Block,Normal,,,,[],,,[],,,,22.12766;536.383
Player_6_12,6,12,1,3,New Dialogue Entry,,That sounds cool!,False,Block,Normal,,,,[],,,[],,,,220;535.3191
Girl_6_13,6,13,3,1,New Dialogue Entry,,...You think so?,False,Block,Normal,,"Variable[""girlTalkSaver""] = true;\nVariable[""girlLike""] = Variable[""girlLike""] + 1",,[],,,[],,,,70.69907;627.8702
Girl_6_14,6,14,3,1,New Dialogue Entry,,"Yes the Bad people are trying to kill you but don't worry, we good people will protect you and invite you to our world.",False,Block,Normal,,,,[],,,[],,,,339.3617;395.766
Player_6_15,6,15,1,3,New Dialogue Entry,,What do you mean by invite me?,False,Block,Normal,,,,[],,,[],,,,339.3617;445.766
Girl_6_16,6,16,3,1,New Dialogue Entry,,"Oh it's simple, just open the door from our side.",False,Block,Normal,,,,[],,,[],,,,339.3617;495.766
Player_6_17,6,17,1,3,New Dialogue Entry,,So there is a door on your side and you can just open it? Then what are we waiting for? Open it!,False,Block,Normal,,,,[],,,[],,,,339.3617;545.766
Girl_6_18,6,18,3,1,New Dialogue Entry,,Well there is a tiny problem...,False,Block,Normal,,"Variable[""girlTalkLooking""] = true",,[],,,[],,,,339.3617;595.766
Player_6_19,6,19,1,3,New Dialogue Entry,,Skip the chat and open the door for me first!,False,Block,Normal,"(Variable[""girlTalkLooking""] == true) and (Variable[""girlTalkSaver""] == true)",,,[],,,[],,,,592.4224;316.8421
Girl_6_20,6,20,3,1,New Dialogue Entry,,I'd love to.. But I'm locked now...,False,Block,Normal,,,,[],,,[],,,,591.0525;398.3489
Player_6_21,6,21,1,3,New Dialogue Entry,,Who locked you?,False,Block,Normal,,,,[],,,[],,,,591.0525;448.3489
Girl_6_22,6,22,3,1,,,"Those bad people, take care, they are hunting you and if they found you first, They might hurt you.",False,Block,Normal,,,,[],,,[],,,,591.0525;496.9791
Player_6_23,6,23,1,3,New Dialogue Entry,,Is there a way I can unlock you?,False,Block,Normal,,,,[],,,[],,,,591.0525;546.9791
Girl_6_24,6,24,3,1,New Dialogue Entry,,We can find the keys for me! ,False,Block,Normal,,,,[],,,[],,,,591.0525;596.9791
Player_6_25,6,25,1,3,New Dialogue Entry,,We?,False,Block,Normal,,,,[],,,[],,,,591.0525;646.9791
Girl_6_26,6,26,3,1,,,"Yes, The Saver should have an ability to link with a human, share vision and thoughts.",False,Block,Normal,,,,[],,,[],,,,591.0525;694.54
Player_6_27,6,27,1,3,New Dialogue Entry,,Sure let's go.,False,Block,Normal,,,,[],,,[],,,,591.0525;746.9791
Girl_6_28,6,28,3,1,,,Hey I can see from your sight now! Neat! ,False,Block,Normal,,,Audio(magic),[],,,[],,,,591.0525;796.9791
Player_6_29,6,29,1,3,New Dialogue Entry,,And I can hear from you directly like you are sit next to me. A little weird.,False,Block,Normal,,"Variable[""takeGirl""] = true",,[],,,[],,,,591.0525;844.8052
Player_6_30,6,30,1,3,New Dialogue Entry,,Let me think about it.,False,Block,Normal,,"Variable[""girlLike""] = Variable[""girlLike""] - 1",,[],,,[],,,,791.0524;740.8815
NPC_6_31,6,31,2,3,New Dialogue Entry,,Hi again.,False,Block,Normal,"(Variable[""girlTalkSaver""] == true) and (Variable[""girlTalkLooking""] == true)",,,[],,,[],,,,715.5163;93.79391
Girl_6_32,6,32,3,2,New Dialogue Entry,,Want to take me?,False,Block,Normal,,,,[],,,[],,,,754.0408;198.7119
NPC_6_33,6,33,2,3,New Dialogue Entry,,Any idea what should we do now?,False,Block,Normal,"Variable[""takeGirl""] == true",,,[],,,[],,,,983.9339;55.40985
Girl_6_34,6,34,3,1,New Dialogue Entry,,Search around and see if we can find the key for me.,False,Block,Normal,,,,[],,,[],,,,1006.885;175.9016
Girl_6_35,6,35,3,1,,,Let's try the key.,False,Block,Normal,"Item[""Key""].State == ""Hold""",,,[],,,[],,,,1385.517;48.36409
Player_6_36,6,36,1,3,New Dialogue Entry,,Opened!,False,Block,Normal,,,Audio(lock),[],,,[],,,,1373.448;119.0537
Player_6_37,6,37,1,3,New Dialogue Entry,,Now open the door for me!,False,Block,Normal,,,,[],,,[],,,,1384.876;189.0537
Girl_6_38,6,38,3,1,New Dialogue Entry,,...Sure.,False,Block,Normal,,,,[],,,[],,,,1272.02;269.0537
Girl_6_39,6,39,3,1,New Dialogue Entry,,Can you...Stay there for me?,False,Block,Normal,"Variable[""girlLike""] >= 0",,,[],,,[],,,,1530.591;263.3394
Player_6_40,6,40,1,3,New Dialogue Entry,,!!,False,Block,Normal,,,Audio(gasp),[],,,[],,,,1272.02;319.0537
Girl_6_41,6,41,3,1,New Dialogue Entry,,"I'm sorry. I'm not a good person, I burst into this place trying to kill you.",False,Block,Normal,,,,[],,,[],,,,1273.448;367.6251
Girl_6_42,6,42,3,1,,,The God would not forgive me. I know. But I can't die...Sorry.,False,Block,Normal,,,,[],,,[],,,,1272.02;419.0537
Player_6_43,6,43,1,3,,,(The End.),False,Block,Normal,,,,[],,,[],,,,1272.02;469.0537
Player_6_44,6,44,1,3,New Dialogue Entry,,What do you mean?,False,Block,Normal,,,,[],,,[],,,,1530.591;313.3394
Girl_6_45,6,45,3,1,New Dialogue Entry,,"I'm sorry. I'm not a good person, I burst into this place trying to kill you.",False,Block,Normal,,,,[],,,[],,,,1536.157;371.4778
Girl_6_46,6,46,3,1,New Dialogue Entry,,"But I think you are a good person... A good saver. Please, can you stay there and don't come out? ",False,Block,Normal,,,,[],,,[],,,,1536.157;420.0492
Player_6_47,6,47,1,3,New Dialogue Entry,,Ok.,False,Block,Normal,,,,[],,,[],,,,1536.157;470.0492
Player_6_48,6,48,1,3,New Dialogue Entry,,No.,False,Block,Normal,,,,[],,,[],,,,1767.586;471.4777
Player_6_49,6,49,1,3,New Dialogue Entry,,You stayed in this place.,False,Block,Normal,,,,[],,,[],,,,1536.157;520.0492
Player_6_50,6,50,1,3,New Dialogue Entry,,(The End.),False,Block,Normal,,,,[],,,[],,,,1536.157;570.0492
Player_7_0,7,0,1,3,START,,,False,Block,Normal,,,Audio(snort),[],,,[],,,,20;30
Girl_7_1,7,1,3,1,New Dialogue Entry,,Look! He has a key!,False,Block,Normal,,,,[],,,[],,,,20;80
Player_7_2,7,2,1,3,New Dialogue Entry,,Awesome! I can't believe things can be so easy. What can I do now to get the key?,False,Block,Normal,,,,[],,,[],,,,20;130
Girl_7_3,7,3,3,1,New Dialogue Entry,,"I know you can fetch small items from here... But the problem is, he is holding the key, so if we try fetch it, we might wake him up and put you into dangerous...",False,Block,Normal,,,,[],,,[],,,,20;180
Player_7_4,7,4,1,3,New Dialogue Entry,,If only there is a way to take him away.,False,Block,Normal,,"Variable[""checkedKeyMan""] = true",,[],,,[],,,,20;228.3607
Player_7_5,7,5,1,3,,,This man is sleeping.,False,Block,Normal,,,,[],,,[],,,,238.0327;40.65576
Player_8_0,8,0,1,3,START,,,False,Block,Normal,,,None(),[],,,[],,,,20;30
Girl_8_1,8,1,3,1,,,A Rope.,False,Block,Normal,,,,[],,,[],,,,20;80
Player_8_2,8,2,1,3,,,Used to link stuff.,False,Block,Normal,,,,[],,,[],,,,20;130
Girl_8_3,8,3,3,1,,,Quite boring.,False,Block,Normal,,"Variable[""seeRope""] = true",,[],,,[],,,,20;180
Player_9_0,9,0,1,3,START,,,False,Block,Normal,,,Audio(horse),[],,,[],,,,20;30
Girl_9_1,9,1,3,1,New Dialogue Entry,,A horse.,False,Block,Normal,,,,[],,,[],,,,20;80
Player_9_2,9,2,1,3,New Dialogue Entry,,When I get out we can use it to run away.,False,Block,Normal,,,,[],,,[],,,,20;130
Girl_9_3,9,3,3,1,New Dialogue Entry,,"You are the Saver! We don't need to run away, just kill them all. Haha.",False,Block,Normal,,,,[],,,[],,,,32.94117;291.7647
Girl_9_4,9,4,3,1,New Dialogue Entry,,Why do we need to run away?,False,Block,Normal,,,,[],,,[],,,,200;181.1765
Player_9_5,9,5,1,3,New Dialogue Entry,,I mean... Here are so many bad people...,False,Block,Normal,,,,[],,,[],,,,200;228.8235
Player_9_6,9,6,1,3,New Dialogue Entry,,"You are right, I'm not getting used to my position.",False,Block,Normal,,,,[],,,[],,,,32.94117;341.7647
Player_9_7,9,7,1,3,New Dialogue Entry,,They might be bad but are they deserve to die...?,False,Block,Normal,,,,[],,,[],,,,270.5882;333.4401
Girl_9_8,9,8,3,1,New Dialogue Entry,,...I'll remind you.,False,Block,Normal,,"Variable[""horseTalked""] = true;\nVariable[""girlLike""] = Variable[""girlLike""] + 1",,[],,,[],,,,32.94117;391.7647
Girl_9_9,9,9,3,1,New Dialogue Entry,,"They killed people, that must be count as bad people right?",False,Block,Normal,,,,[],,,[],,,,270.5882;383.4401
Player_9_10,9,10,1,3,New Dialogue Entry,,I don't know...,False,Block,Normal,,"Variable[""horseTalked""] = true",,[],,,[],,,,270.5882;433.4401
Girl_9_11,9,11,3,1,New Dialogue Entry,,"Hey I see, the horse is linked to the man with key by the rope!",False,Block,Normal,"(Variable[""checkedKeyMan""] == true) and (Variable[""horseTalked""] == true) and (Variable[""seeRope""] == true) ",,,[],,,[],,,,686.7182;41.54674
Player_9_12,9,12,1,3,New Dialogue Entry,,"Oh yeah! If we provoke the horse and it runs away, we might be able to make the kay man go away!",False,Block,Normal,,,,[],,,[],,,,686.7182;91.54674
Girl_9_13,9,13,3,1,New Dialogue Entry,,Let's do this!,False,Block,Normal,,,,[],,,[],,,,686.7182;141.5467
Girl_9_14,9,14,3,1,New Dialogue Entry,,I wonder if there is anything we can do with the horse.,False,Block,Normal,"Variable[""horseTalked""] == true",,,[],,,[],,,,416.8748;78.4375
Player_9_15,9,15,1,3,New Dialogue Entry,,Oh boy.,False,Block,Normal,,,AudioWait(horseWhine),[],,,[],,,,686.7182;189.7285
Girl_9_16,9,16,3,1,New Dialogue Entry,,It works!,False,Block,Normal,,,,[],,,[],,efad6f8b-3361-41e7-a061-7cb6c5a43e32,,686.7182;239.7285
Player_10_0,10,0,1,3,START,,,False,Block,Normal,,,None(),[],,,[],,,,20;30
Girl_10_1,10,1,3,1,New Dialogue Entry,,The Key!,False,Block,Normal,,,,[],,,[],,,,20;80
Player_10_2,10,2,1,3,New Dialogue Entry,,Let's try using it to open the lock.,False,Block,Normal,,,,[],,,[],,,,20;130
Girl_10_3,10,3,3,1,New Dialogue Entry,,Would it be this simple?,False,Block,Normal,,,,[],,,[],,,,20;180
Player_10_4,10,4,1,3,New Dialogue Entry,,I doubt... But consider this is a game jam game and the developer is dying now I think it is the time to end the journey.,False,Block,Normal,,,,[],,,[],,,,20;230
Girl_10_5,10,5,3,1,New Dialogue Entry,,...? What are you talking about.,False,Block,Normal,,,,[],,,[],,,,20;280
Player_10_6,10,6,1,3,New Dialogue Entry,,Just some rumbles.,False,Block,Normal,,"Item[""Key""].State = ""Hold""",,[],,,[],,,,20;330
OutgoingLinks
OriginConvID,OriginID,DestConvID,DestID,ConditionPriority
Number,Number,Number,Number,Special
1,0,1,1,Normal
1,1,1,2,Normal
1,2,1,3,Normal
2,0,2,1,Normal
2,1,2,2,Normal
3,0,3,1,Normal
3,0,3,5,Normal
3,1,3,2,Normal
3,2,3,3,Normal
3,5,3,6,Normal
3,6,3,7,Normal
3,7,3,8,Normal
4,0,4,1,Normal
4,1,4,2,Normal
4,2,4,3,Normal
4,3,4,4,Normal
5,0,5,5,Normal
5,0,5,1,Normal
5,1,5,2,Normal
5,2,5,3,Normal
5,3,5,4,Normal
5,5,5,6,Normal
5,6,5,7,Normal
5,7,5,8,Normal
5,8,5,9,Normal
5,9,5,10,Normal
6,0,6,35,Normal
6,0,6,33,Normal
6,0,6,31,Normal
6,0,6,1,Normal
6,1,6,2,Normal
6,2,6,3,Normal
6,3,6,4,Normal
6,4,6,5,Normal
6,5,6,6,Normal
6,5,6,7,Normal
6,5,6,19,Normal
6,6,6,8,Normal
6,7,6,14,Normal
6,8,6,9,Normal
6,9,6,10,Normal
6,10,6,11,Normal
6,10,6,12,Normal
6,11,6,13,Normal
6,12,6,13,Normal
6,13,6,6,Normal
6,13,6,7,Normal
6,13,6,19,Normal
6,14,6,15,Normal
6,15,6,16,Normal
6,16,6,17,Normal
6,17,6,18,Normal
6,18,6,6,Normal
6,18,6,7,Normal
6,18,6,19,Normal
6,19,6,20,Normal
6,20,6,21,Normal
6,21,6,22,Normal
6,22,6,23,Normal
6,23,6,24,Normal
6,24,6,25,Normal
6,25,6,26,Normal
6,26,6,27,Normal
6,26,6,30,Normal
6,27,6,28,Normal
6,28,6,29,Normal
6,31,6,32,Normal
6,32,6,30,Normal
6,32,6,27,Normal
6,33,6,34,Normal
6,35,6,36,Normal
6,36,6,37,Normal
6,37,6,39,Normal
6,37,6,38,Normal
6,38,6,40,Normal
6,39,6,44,Normal
6,40,6,41,Normal
6,41,6,42,Normal
6,42,6,43,Normal
6,44,6,45,Normal
6,45,6,46,Normal
6,46,6,47,Normal
6,46,6,48,Normal
6,47,6,49,Normal
6,48,6,42,Normal
6,49,6,50,Normal
7,0,7,5,Normal
7,1,7,2,Normal
7,2,7,3,Normal
7,3,7,4,Normal
7,5,7,1,Normal
8,0,8,1,Normal
8,1,8,2,Normal
8,2,8,3,Normal
9,0,9,13,Normal
9,0,9,11,Normal
9,0,9,14,Normal
9,0,9,1,Normal
9,1,9,2,Normal
9,2,9,4,Normal
9,3,9,6,Normal
9,3,9,7,Normal
9,4,9,5,Normal
9,5,9,3,Normal
9,6,9,8,Normal
9,7,9,9,Normal
9,8,9,11,Normal
9,9,9,10,Normal
9,10,9,11,Normal
9,11,9,12,Normal
9,12,9,13,Normal
9,13,9,15,Normal
9,15,9,16,Normal
10,0,10,1,Normal
10,1,10,2,Normal
10,2,10,3,Normal
10,3,10,4,Normal
10,4,10,5,Normal
10,5,10,6,Normal
